order_number,line_item,order_date,delivery_date,customerkey,productkey,quantity,currency_code,open_date,gender,first_name,last_name,city,state_code,state,zip_code,country,continent,birthday,year,month,age,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,Exchange_Rate,Generation
366001,1,2016-01-01,2016-01-13,1269051,1048,2,USD,2010-01-01,Male,Frank,Upchurch,Auberry,CA,California,93602,United States,North America,1995-11-20,1995,November,29,A. Datum SLR Camera X136 Silver,A. Datum,Silver,141.4700,427.0000,402,Digital SLR Cameras,4,Cameras and camcorders,1.0000,Modern Era (1991-2015)
1352012,1,2018-09-13,2018-09-17,210267,1048,7,CAD,2010-01-01,Female,Angela,Reid,Petawawa,ON,Ontario,K8H 1P6,Canada,North America,1943-09-11,1943,September,81,A. Datum SLR Camera X136 Silver,A. Datum,Silver,141.4700,427.0000,402,Digital SLR Cameras,4,Cameras and camcorders,1.3005,Early Era (1935-1950)
1436028,1,2018-06-12,2018-10-12,584186,1048,7,EUR,2010-01-01,Female,Gabriele,Konig,Heilbach,RP,Rheinland-Pfalz,54673,Germany,Europe,1980-10-11,1980,October,44,A. Datum SLR Camera X136 Silver,A. Datum,Silver,141.4700,427.0000,402,Digital SLR Cameras,4,Cameras and camcorders,0.8810,Tech Boom (1971-1990)
1765034,2,2019-10-31,2019-04-11,1407493,1048,4,USD,2010-01-01,Female,Ruth,Wright,Hampton,SC,South Carolina,29924,United States,North America,1973-03-02,1973,March,51,A. Datum SLR Camera X136 Silver,A. Datum,Silver,141.4700,427.0000,402,Digital SLR Cameras,4,Cameras and camcorders,1.0000,Tech Boom (1971-1990)
366001,2,2016-01-01,2016-01-13,1269051,2007,1,USD,2010-01-01,Male,Frank,Upchurch,Auberry,CA,California,93602,United States,North America,1995-11-20,1995,November,29,Fabrikam Microwave 1.5CuFt X1100 Black,Fabrikam,Black,220.6400,665.9400,803,Microwaves,8,Home Appliances,1.0000,Modern Era (1991-2015)
366002,1,2016-01-01,2016-12-01,266019,1106,7,CAD,2010-01-01,Female,Joan,Roche,Red Deer,AB,Alberta,T4N 2A6,Canada,North America,1962-08-24,1962,August,62,Contoso SLR Camera M146 Orange,Contoso,Orange,148.0800,322.0000,402,Digital SLR Cameras,4,Cameras and camcorders,1.3884,Digital Revolution (1951-1970)
1511006,4,2019-02-19,2019-02-24,1979129,1106,2,USD,2010-01-01,Male,Eric,Ackerman,San Mateo,CA,California,94403,United States,North America,1948-04-08,1948,April,76,Contoso SLR Camera M146 Orange,Contoso,Orange,148.0800,322.0000,402,Digital SLR Cameras,4,Cameras and camcorders,1.0000,Early Era (1935-1950)
366002,2,2016-01-01,2016-12-01,266019,373,1,CAD,2010-01-01,Female,Joan,Roche,Red Deer,AB,Alberta,T4N 2A6,Canada,North America,1962-08-24,1962,August,62,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2000,326.0000,301,Laptops,3,Computers,1.3884,Digital Revolution (1951-1970)
1478026,1,2019-01-17,2019-01-21,1458780,373,1,USD,2010-01-01,Female,Janice,Arrieta,Dallas,TX,Texas,75247,United States,North America,1993-09-28,1993,September,31,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2000,326.0000,301,Laptops,3,Computers,1.0000,Modern Era (1991-2015)
1118001,4,2018-01-22,2018-01-29,1164098,373,2,GBP,2010-01-01,Female,Jasmine,Brennan,KINGSBURY,Tamworth,Tamworth,B78 7UF,United Kingdom,Europe,1955-07-21,1955,July,69,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2000,326.0000,301,Laptops,3,Computers,0.7197,Digital Revolution (1951-1970)
